INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I182009078,02647,Other,THREATS TO DO BODILY HARM,, ,,2018-02-03 21:58:00,2018,2,Saturday,21,Part Two,MONSIGNOR DENNIS F O'CALL,-1.00000000,-1.00000000,"(-1.00000000, -1.00000000)"
I182009077,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B2,331,,2018-02-03 20:10:00,2018,2,Saturday,20,Part Three,BAKER AVE,42.31238668,-71.07086154,"(42.31238668, -71.07086154)"
I182009076,03201,Property Lost,PROPERTY - LOST,, ,,2018-02-03 22:01:00,2018,2,Saturday,22,Part Three,,42.35238395,-71.06453754,"(42.35238395, -71.06453754)"
I182009075,03115,Investigate Person,INVESTIGATE PERSON,, ,,2018-02-03 18:30:00,2018,2,Saturday,18,Part Three,CENTRE,-1.00000000,-1.00000000,"(-1.00000000, -1.00000000)"
I182009074,03114,Investigate Property,INVESTIGATE PROPERTY,C11,401,,2018-02-03 21:38:00,2018,2,Saturday,21,Part Three,ALBAN ST,42.28721616,-71.06633771,"(42.28721616, -71.06633771)"
I182009073,03109,Police Service Incidents,SERVICE TO OTHER PD INSIDE OF MA.,A1,76,,2018-02-03 20:50:00,2018,2,Saturday,20,Part Three,CANAL ST,42.36489527,-71.06050249,"(42.36489527, -71.06050249)"
I182009072,03115,Investigate Person,INVESTIGATE PERSON,A1,116,,2018-02-03 21:08:00,2018,2,Saturday,21,Part Three,BEACH ST,42.35142278,-71.06084508,"(42.35142278, -71.06084508)"
I182009070,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,B3,418,,2018-02-03 21:07:00,2018,2,Saturday,21,Part Two,MILTON AVE,42.28238100,-71.07612455,"(42.28238100, -71.07612455)"
I182009069,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,A7,27,,2018-02-03 20:38:00,2018,2,Saturday,20,Part Three,NEW ST,42.37129530,-71.04342377,"(42.37129530, -71.04342377)"
I182009068,03410,Towed,TOWED MOTOR VEHICLE,B2,301,,2018-02-03 20:54:38,2018,2,Saturday,20,Part Three,HIGHLAND ST,42.32442839,-71.09327715,"(42.32442839, -71.09327715)"
I182009067,03114,Investigate Property,INVESTIGATE PROPERTY,A1,120,,2018-02-02 01:30:00,2018,2,Friday,1,Part Three,PARK PLZ,42.35143483,-71.06969334,"(42.35143483, -71.06969334)"
I182009066,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,D4,129,,2018-02-03 20:32:00,2018,2,Saturday,20,Part Three,SAINT JAMES AVE,42.35074192,-71.07146111,"(42.35074192, -71.07146111)"
I182009065,00619,Larceny,LARCENY ALL OTHERS,A1,115,,2018-02-03 06:30:00,2018,2,Saturday,6,Part One,ATLANTIC AVE,42.35043307,-71.05661862,"(42.35043307, -71.05661862)"
I182009064,03301,Verbal Disputes,VERBAL DISPUTE,B3,469,,2018-02-03 20:08:00,2018,2,Saturday,20,Part Three,ALMONT ST,42.27885134,-71.09833259,"(42.27885134, -71.09833259)"
I182009062,02914,Violations,VAL - OPERATING W/O AUTHORIZATION LAWFUL,E18,495,,2017-10-17 07:00:00,2017,10,Tuesday,7,Part Two,PROVIDENCE ST,42.26512321,-71.12271428,"(42.26512321, -71.12271428)"
I182009062,00619,Larceny,LARCENY ALL OTHERS,E18,495,,2017-10-17 07:00:00,2017,10,Tuesday,7,Part One,PROVIDENCE ST,42.26512321,-71.12271428,"(42.26512321, -71.12271428)"
I182009061,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B2,304,,2018-02-03 19:53:00,2018,2,Saturday,19,Part Three,DIMOCK ST,42.31949779,-71.09707352,"(42.31949779, -71.09707352)"
I182009060,00619,Larceny,LARCENY ALL OTHERS,E18,490,,2018-02-03 20:01:00,2018,2,Saturday,20,Part One,AMERICAN LEGION HWY,42.27531312,-71.11587798,"(42.27531312, -71.11587798)"
I182009058,00520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,D14,809,,2018-02-03 19:02:00,2018,2,Saturday,19,Part One,ADAMSON ST,42.35826604,-71.13520407,"(42.35826604, -71.13520407)"
I182009057,01402,Vandalism,VANDALISM,B2,326,,2018-02-03 19:45:00,2018,2,Saturday,19,Part Two,FAYSTON ST,42.31224327,-71.07549901,"(42.31224327, -71.07549901)"
I182009056,03125,Warrant Arrests,WARRANT ARREST,A1,75,,2018-02-03 18:45:00,2018,2,Saturday,18,Part Three,PORTLAND ST,42.36423840,-71.06165515,"(42.36423840, -71.06165515)"
I182009056,00311,Robbery,ROBBERY - COMMERCIAL,A1,75,,2018-02-03 18:45:00,2018,2,Saturday,18,Part One,PORTLAND ST,42.36423840,-71.06165515,"(42.36423840, -71.06165515)"
I182009055,00727,Auto Theft,AUTO THEFT - LEASED/RENTED VEHICLE,, ,,2018-02-03 18:00:00,2018,2,Saturday,18,Part One,,42.35948365,-71.07075435,"(42.35948365, -71.07075435)"
I182009054,03115,Investigate Person,INVESTIGATE PERSON,A1,92,,2018-02-03 18:59:00,2018,2,Saturday,18,Part Three,COURT ST,42.35892279,-71.05835354,"(42.35892279, -71.05835354)"
I182009053,03831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,C11,348,,2018-02-03 18:59:00,2018,2,Saturday,18,Part Three,DORCHESTER AVE,42.30600262,-71.05878720,"(42.30600262, -71.05878720)"
I182009052,00522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,D14,809,,2018-02-03 19:02:00,2018,2,Saturday,19,Part One,ADAMSON ST,42.35826604,-71.13520407,"(42.35826604, -71.13520407)"
I182009051,00619,Larceny,LARCENY ALL OTHERS,E5,732,,2018-02-01 00:00:00,2018,2,Thursday,0,Part One,TEMPLE ST,42.28264850,-71.16533560,"(42.28264850, -71.16533560)"
I182009050,03410,Towed,TOWED MOTOR VEHICLE,B2,260,,2018-02-03 18:15:00,2018,2,Saturday,18,Part Three,HARLOW ST,42.31915263,-71.07189822,"(42.31915263, -71.07189822)"
I182009049,02632,Evading Fare,EVADING FARE,B2,295,,2018-02-03 18:51:00,2018,2,Saturday,18,Part Two,SAINT JAMES ST,42.32593326,-71.08345591,"(42.32593326, -71.08345591)"
I182009048,00613,Larceny,LARCENY SHOPLIFTING,D4,141,,2018-02-03 18:51:00,2018,2,Saturday,18,Part One,NEWBURY ST,42.34840576,-71.08688339,"(42.34840576, -71.08688339)"
I182009047,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,E5,692,,2018-02-03 18:37:00,2018,2,Saturday,18,Part Three,GREATON RD,42.29224995,-71.15272034,"(42.29224995, -71.15272034)"
I182009046,03115,Investigate Person,INVESTIGATE PERSON,B3,432,,2018-02-03 17:46:00,2018,2,Saturday,17,Part Three,OAKHURST ST,42.28803351,-71.08241673,"(42.28803351, -71.08241673)"
I182009045,00619,Larceny,LARCENY ALL OTHERS,C11,462,,2018-01-30 10:00:00,2018,1,Tuesday,10,Part One,BOWDOIN AVE,42.30090969,-71.07425843,"(42.30090969, -71.07425843)"
I182009044,03802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY �DAMAGE,A1,76,,2018-02-03 18:11:00,2018,2,Saturday,18,Part Three,CANAL ST,42.36489527,-71.06050249,"(42.36489527, -71.06050249)"
I182009043,03831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,C11,332,,2018-02-03 15:10:00,2018,2,Saturday,15,Part Three,TRULL ST,42.31250816,-71.06546757,"(42.31250816, -71.06546757)"
I182009042,01402,Vandalism,VANDALISM,A1,85,,2018-02-02 20:00:00,2018,2,Friday,20,Part Two,COOPER ST,42.36436412,-71.05554826,"(42.36436412, -71.05554826)"
I182009041,03820,Motor Vehicle Accident Response,M/V ACCIDENT INVOLVING PEDESTRIAN - INJURY,C6,186,,2018-02-03 16:41:00,2018,2,Saturday,16,Part Three,ALLSTATE RD,42.32809966,-71.06321676,"(42.32809966, -71.06321676)"
I182009040,01874,Drug Violation,DRUGS - OTHER,B2,282,,2018-02-03 18:14:00,2018,2,Saturday,18,Part Two,WASHINGTON ST,42.32866284,-71.08563401,"(42.32866284, -71.08563401)"
I182009038,00520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,E5,822,,2018-01-29 08:00:00,2018,1,Monday,8,Part One,WOODLEY AVE,42.26063118,-71.15222697,"(42.26063118, -71.15222697)"
I182009036,00361,Robbery,ROBBERY - OTHER,B2,318,,2018-02-03 17:17:00,2018,2,Saturday,17,Part One,SEAVER ST,42.30878855,-71.09055618,"(42.30878855, -71.09055618)"
I182009035,03831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,B3,421,,2018-02-03 17:16:00,2018,2,Saturday,17,Part Three,MORTON VILLAGE DR,42.28024352,-71.08481509,"(42.28024352, -71.08481509)"
I182009034,01102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,D4,139,,2018-01-26 12:00:00,2018,1,Friday,12,Part Two,MARLBOROUGH ST,42.35038760,-71.08785290,"(42.35038760, -71.08785290)"
I182009033,03114,Investigate Property,INVESTIGATE PROPERTY,E18,501,,2018-02-03 17:56:00,2018,2,Saturday,17,Part Three,HYDE PARK AVE,42.27926700,-71.11900247,"(42.27926700, -71.11900247)"
I182009032,03831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,C11,347,,2018-02-02 23:00:00,2018,2,Friday,23,Part Three,LYON ST,42.30638323,-71.06021218,"(42.30638323, -71.06021218)"
I182009031,00614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,B2,289,,2018-02-03 13:00:00,2018,2,Saturday,13,Part One,MALCOLM X BLVD,42.33123776,-71.09140736,"(42.33123776, -71.09140736)"
I182009031,01402,Vandalism,VANDALISM,B2,289,,2018-02-03 13:00:00,2018,2,Saturday,13,Part Two,MALCOLM X BLVD,42.33123776,-71.09140736,"(42.33123776, -71.09140736)"
I182009030,01107,Fraud,FRAUD - IMPERSONATION,E5,822,,2018-01-22 18:30:00,2018,1,Monday,18,Part Two,RUNNING BROOK RD,42.26458033,-71.15128604,"(42.26458033, -71.15128604)"
I182009029,03501,Missing Person Reported,MISSING PERSON,A7,17,,2018-02-03 15:23:00,2018,2,Saturday,15,Part Three,E EAGLE ST,42.38133607,-71.02924074,"(42.38133607, -71.02924074)"
I182009028,01402,Vandalism,VANDALISM,C11,332,,2018-02-03 14:00:00,2018,2,Saturday,14,Part Two,HANCOCK ST,42.31319382,-71.06500833,"(42.31319382, -71.06500833)"
I182009027,03114,Investigate Property,INVESTIGATE PROPERTY,E5,707,,2018-02-03 16:09:00,2018,2,Saturday,16,Part Three,WASHINGTON ST,42.26866684,-71.14904534,"(42.26866684, -71.14904534)"
I182009026,03115,Investigate Person,INVESTIGATE PERSON,D14,752,,2018-02-03 12:45:00,2018,2,Saturday,12,Part Three,WASHINGTON ST,42.35042609,-71.16637332,"(42.35042609, -71.16637332)"
I182009025,03207,Property Found,PROPERTY - FOUND,A15,38,,2018-02-03 15:43:00,2018,2,Saturday,15,Part Three,THIRD AVE,42.37627664,-71.05383757,"(42.37627664, -71.05383757)"
I182009024,03201,Property Lost,PROPERTY - LOST,D4,624,,2017-12-08 00:00:00,2017,12,Friday,0,Part Three,BOYLSTON ST,42.34456196,-71.09781939,"(42.34456196, -71.09781939)"
I182009022,03801,Motor Vehicle Accident Response,M/V ACCIDENT - OTHER,, ,,2018-02-03 14:56:00,2018,2,Saturday,14,Part Three,,42.30110109,-71.16966239,"(42.30110109, -71.16966239)"
I182009021,00706,Auto Theft,AUTO THEFT - MOTORCYCLE / SCOOTER,A7,11,,2017-12-01 12:00:00,2017,12,Friday,12,Part One,WILLIAM F MCCLELLAN HWY,42.38777475,-71.01769231,"(42.38777475, -71.01769231)"
I182009020,03114,Investigate Property,INVESTIGATE PROPERTY,A1,61,,2018-02-03 16:26:00,2018,2,Saturday,16,Part Three,LEGENDS WAY,42.36643546,-71.06135413,"(42.36643546, -71.06135413)"
I182009019,02629,Harassment,HARASSMENT,B3,428,,2018-02-03 16:24:00,2018,2,Saturday,16,Part Two,HOSMER ST,42.28079658,-71.09039724,"(42.28079658, -71.09039724)"
I182009018,02647,Other,THREATS TO DO BODILY HARM,C6,186,,2018-02-03 15:45:00,2018,2,Saturday,15,Part Two,ALLSTATE RD,42.32809966,-71.06321676,"(42.32809966, -71.06321676)"
I182009018,00613,Larceny,LARCENY SHOPLIFTING,C6,186,,2018-02-03 15:45:00,2018,2,Saturday,15,Part One,ALLSTATE RD,42.32809966,-71.06321676,"(42.32809966, -71.06321676)"
I182009017,00614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,E18,486,,2018-02-03 16:20:00,2018,2,Saturday,16,Part One,RANLEY RD,42.26735874,-71.10283107,"(42.26735874, -71.10283107)"
I182009016,00617,Larceny,LARCENY THEFT FROM BUILDING,B2,301,,2018-01-25 11:50:00,2018,1,Thursday,11,Part One,BEECH GLEN ST,42.32463870,-71.09531354,"(42.32463870, -71.09531354)"
I182009015,03007,Medical Assistance,SUDDEN DEATH,E18,535,,2018-02-03 15:26:00,2018,2,Saturday,15,Part Three,TURTLE POND PKWY,42.25275215,-71.13928462,"(42.25275215, -71.13928462)"
I182009014,03201,Property Lost,PROPERTY - LOST,C6,201,,2018-02-03 16:15:00,2018,2,Saturday,16,Part Three,W BROADWAY,42.33930416,-71.05160423,"(42.33930416, -71.05160423)"
I182009011,03115,Investigate Person,INVESTIGATE PERSON,C11,460,,2018-02-02 20:30:00,2018,2,Friday,20,Part Three,STRATHCONA RD,42.30521091,-71.07930130,"(42.30521091, -71.07930130)"
I182009010,03801,Motor Vehicle Accident Response,M/V ACCIDENT - OTHER,E18,503,,2018-02-03 15:03:00,2018,2,Saturday,15,Part Three,AMERICAN LEGION HWY,42.28322762,-71.11386140,"(42.28322762, -71.11386140)"
I182009009,03831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,B3,465,,2018-02-03 06:50:00,2018,2,Saturday,6,Part Three,BLUE HILL AVE,42.28482577,-71.09137369,"(42.28482577, -71.09137369)"
I182009007,03831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,E5,685,,2018-02-03 13:30:00,2018,2,Saturday,13,Part Three,HAYDN ST,42.27788435,-71.13907770,"(42.27788435, -71.13907770)"
I182009005,00613,Larceny,LARCENY SHOPLIFTING,D4,134,,2018-02-03 14:54:00,2018,2,Saturday,14,Part One,NEWBURY ST,42.35237073,-71.07227173,"(42.35237073, -71.07227173)"
I182009004,02007,Restraining Order Violations,VIOL. OF RESTRAINING ORDER W NO ARREST,C11,398,,2017-11-22 17:30:00,2017,11,Wednesday,17,Part Two,WELLES AVE,42.28854881,-71.06894162,"(42.28854881, -71.06894162)"
I182009003,03803,Motor Vehicle Accident Response,M/V ACCIDENT - PERSONAL INJURY,E18,519,,2018-02-03 13:27:00,2018,2,Saturday,13,Part Three,RIVER ST,42.25777765,-71.11906855,"(42.25777765, -71.11906855)"
I182009002,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,E18,536,,2018-02-03 14:08:00,2018,2,Saturday,14,Part Two,DODGE RD,42.25199081,-71.14506066,"(42.25199081, -71.14506066)"
I182009001,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,B3,406,,2018-02-03 13:00:00,2018,2,Saturday,13,Part Two,RIVER ST,42.27179929,-71.07287043,"(42.27179929, -71.07287043)"
I182009000,03301,Verbal Disputes,VERBAL DISPUTE,, ,,2018-02-03 14:28:00,2018,2,Saturday,14,Part Three,DABNEY,-1.00000000,-1.00000000,"(-1.00000000, -1.00000000)"
I182008999,00619,Larceny,LARCENY ALL OTHERS,, ,,2018-02-02 13:00:00,2018,2,Friday,13,Part One,WESTMOOR,-1.00000000,-1.00000000,"(-1.00000000, -1.00000000)"
I182008998,03802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY �DAMAGE,, ,,2018-02-03 13:36:00,2018,2,Saturday,13,Part Three,,42.25812161,-71.12100651,"(42.25812161, -71.12100651)"
I182008996,02906,Violations,VAL - OPERATING UNREG/UNINS �CAR,B3,476,,2018-02-03 14:40:00,2018,2,Saturday,14,Part Two,FAIRWAY ST,42.26870136,-71.09467962,"(42.26870136, -71.09467962)"
I182008996,02907,Violations,VAL - OPERATING AFTER REV/SUSP.,B3,476,,2018-02-03 14:40:00,2018,2,Saturday,14,Part Two,FAIRWAY ST,42.26870136,-71.09467962,"(42.26870136, -71.09467962)"
I182008996,03109,Police Service Incidents,SERVICE TO OTHER PD INSIDE OF MA.,B3,476,,2018-02-03 14:40:00,2018,2,Saturday,14,Part Three,FAIRWAY ST,42.26870136,-71.09467962,"(42.26870136, -71.09467962)"
I182008995,00613,Larceny,LARCENY SHOPLIFTING,D14,804,,2018-02-03 14:00:00,2018,2,Saturday,14,Part One,EVERETT ST,42.35595391,-71.13852468,"(42.35595391, -71.13852468)"
I182008994,03831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,C11,354,,2018-02-02 16:42:00,2018,2,Friday,16,Part Three,ADAMS ST,42.29760605,-71.05676442,"(42.29760605, -71.05676442)"
I182008993,03831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,D14,801,,2018-01-14 02:00:00,2018,1,Sunday,2,Part Three,HARVARD AVE,42.35486542,-71.13259322,"(42.35486542, -71.13259322)"
I182008992,01848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,, ,,2018-02-03 14:20:00,2018,2,Saturday,14,Part Two,MASSACHUSETTS,-1.00000000,-1.00000000,"(-1.00000000, -1.00000000)"
I182008992,01849,Drug Violation,"DRUGS - POSS CLASS B - COCAINE, ETC.",, ,,2018-02-03 14:20:00,2018,2,Saturday,14,Part Two,MASSACHUSETTS,-1.00000000,-1.00000000,"(-1.00000000, -1.00000000)"
I182008992,01810,Drug Violation,DRUGS - SALE / MANUFACTURING,, ,,2018-02-03 14:20:00,2018,2,Saturday,14,Part Two,MASSACHUSETTS,-1.00000000,-1.00000000,"(-1.00000000, -1.00000000)"
I182008989,00617,Larceny,LARCENY THEFT FROM BUILDING,B3,565,,2018-02-03 11:50:00,2018,2,Saturday,11,Part One,KINGBIRD RD,42.29283347,-71.09429600,"(42.29283347, -71.09429600)"
I182008988,03410,Towed,TOWED MOTOR VEHICLE,E13,651,,2018-02-03 13:21:00,2018,2,Saturday,13,Part Three,ANSON ST,42.30302842,-71.11398512,"(42.30302842, -71.11398512)"
I182008986,03201,Property Lost,PROPERTY - LOST,C6,186,,2018-02-03 14:07:00,2018,2,Saturday,14,Part Three,ALLSTATE RD,42.32696647,-71.06198607,"(42.32696647, -71.06198607)"
I182008985,03502,Missing Person Located,MISSING PERSON - LOCATED,B2,265,,2018-02-03 18:30:00,2018,2,Saturday,18,Part Three,ALASKA ST,42.32104360,-71.07865897,"(42.32104360, -71.07865897)"
I182008984,02629,Harassment,HARASSMENT,B3,428,,2018-02-03 13:56:00,2018,2,Saturday,13,Part Two,HOSMER ST,42.28079658,-71.09039724,"(42.28079658, -71.09039724)"
I182008983,03830,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PERSONAL INJURY,E5,681,,2018-02-03 13:19:00,2018,2,Saturday,13,Part Three,WELLSMERE RD,42.28088710,-71.13611022,"(42.28088710, -71.13611022)"
I182008982,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,332,Y,2018-02-03 13:49:00,2018,2,Saturday,13,Part One,TRULL ST,42.31250816,-71.06546757,"(42.31250816, -71.06546757)"
I182008982,03001,Medical Assistance,DEATH INVESTIGATION,C11,332,Y,2018-02-03 13:49:00,2018,2,Saturday,13,Part Three,TRULL ST,42.31250816,-71.06546757,"(42.31250816, -71.06546757)"
I182008981,02647,Other,THREATS TO DO BODILY HARM,B3,432,,2018-02-03 13:24:00,2018,2,Saturday,13,Part Two,WOODROW AVE,42.28783644,-71.08101039,"(42.28783644, -71.08101039)"
I182008979,03831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,B3,470,,2018-02-02 22:06:00,2018,2,Friday,22,Part Three,ITASCA ST,42.27560924,-71.10031808,"(42.27560924, -71.10031808)"
I182008978,03115,Investigate Person,INVESTIGATE PERSON,B2,587,,2018-02-03 13:01:00,2018,2,Saturday,13,Part Three,BURNEY ST,42.33188687,-71.09954390,"(42.33188687, -71.09954390)"
I182008977,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B2,299,,2018-02-03 13:05:00,2018,2,Saturday,13,Part Three,REGENT ST,42.32347517,-71.08750190,"(42.32347517, -71.08750190)"
I182008976,03301,Verbal Disputes,VERBAL DISPUTE,C6,915,,2018-02-03 12:43:00,2018,2,Saturday,12,Part Three,E EIGHTH ST,42.33129745,-71.04864886,"(42.33129745, -71.04864886)"
I182008974,01402,Vandalism,VANDALISM,, ,,2018-01-21 16:00:00,2018,1,Sunday,16,Part Two,,42.27221399,-71.10714305,"(42.27221399, -71.10714305)"
I182008973,03831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,306,,2018-02-02 17:00:00,2018,2,Friday,17,Part Three,DENNISON ST,42.31779130,-71.09334526,"(42.31779130, -71.09334526)"
I182008972,03305,Assembly or Gathering Violations,DEMONSTRATIONS/RIOT,A1,119,,2018-02-03 13:00:00,2018,2,Saturday,13,Part Three,BOYLSTON ST,42.35241815,-71.06525499,"(42.35241815, -71.06525499)"
I182008971,01102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,E18,537,,2018-01-20 18:00:00,2018,1,Saturday,18,Part Two,ALWIN ST,42.25407650,-71.14299321,"(42.25407650, -71.14299321)"
I182008971,00619,Larceny,LARCENY ALL OTHERS,E18,537,,2018-01-20 18:00:00,2018,1,Saturday,18,Part One,ALWIN ST,42.25407650,-71.14299321,"(42.25407650, -71.14299321)"
I182008969,00613,Larceny,LARCENY SHOPLIFTING,D4,133,,2018-02-03 12:50:00,2018,2,Saturday,12,Part One,NEWBURY ST,42.35176179,-71.07452168,"(42.35176179, -71.07452168)"
I182008967,03109,Police Service Incidents,SERVICE TO OTHER PD INSIDE OF MA.,B3,475,,2018-02-03 12:25:00,2018,2,Saturday,12,Part Three,FAVRE ST,42.27166145,-71.09953382,"(42.27166145, -71.09953382)"
I182008966,02629,Harassment,HARASSMENT,E13,651,,2018-01-27 22:30:00,2018,1,Saturday,22,Part Two,SOUTH ST,42.30270805,-71.11449114,"(42.30270805, -71.11449114)"
I182008965,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,, ,,2018-02-02 21:20:00,2018,2,Friday,21,Part Two,,42.35887830,-71.05680381,"(42.35887830, -71.05680381)"
I182008964,00706,Auto Theft,AUTO THEFT - MOTORCYCLE / SCOOTER,B3,28,,2018-01-28 13:00:00,2018,1,Sunday,13,Part One,MCCLELLAN HWY,,,"(0.00000000, 0.00000000)"
I182008963,03402,Service,ANIMAL INCIDENTS,B2,181,,2018-02-03 12:35:00,2018,2,Saturday,12,Part Three,MAGAZINE ST,42.32618322,-71.07240815,"(42.32618322, -71.07240815)"
I182008961,00613,Larceny,LARCENY SHOPLIFTING,D4,143,,2018-02-01 20:00:00,2018,2,Thursday,20,Part One,BOYLSTON ST,42.34862382,-71.08277637,"(42.34862382, -71.08277637)"
I182008959,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,A1,111,,2018-02-03 12:11:00,2018,2,Saturday,12,Part Three,BOYLSTON ST,42.35231190,-71.06370510,"(42.35231190, -71.06370510)"
I182008958,02647,Other,THREATS TO DO BODILY HARM,E18,484,,2018-02-03 08:10:00,2018,2,Saturday,8,Part Two,BELNEL RD,42.26059891,-71.10306140,"(42.26059891, -71.10306140)"
I182008957,03801,Motor Vehicle Accident Response,M/V ACCIDENT - OTHER,B2,317,,2018-02-03 08:21:00,2018,2,Saturday,8,Part Three,HUMBOLDT AVE,42.31262432,-71.08991596,"(42.31262432, -71.08991596)"
I182008956,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B3,427,,2018-02-03 10:46:00,2018,2,Saturday,10,Part Three,EVELYN ST,42.27934055,-71.09130505,"(42.27934055, -71.09130505)"
I182008955,02905,Violations,VAL - OPERATING WITHOUT LICENSE,, ,,2018-02-03 11:57:00,2018,2,Saturday,11,Part Two,,42.32692846,-71.06695626,"(42.32692846, -71.06695626)"
I182008955,03803,Motor Vehicle Accident Response,M/V ACCIDENT - PERSONAL INJURY,, ,,2018-02-03 11:57:00,2018,2,Saturday,11,Part Three,,42.32692846,-71.06695626,"(42.32692846, -71.06695626)"
I182008954,03115,Investigate Person,INVESTIGATE PERSON,E18,520,,2018-02-03 10:30:00,2018,2,Saturday,10,Part Three,HYDE PARK AVE,42.25621592,-71.12401947,"(42.25621592, -71.12401947)"
I182008953,03831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,D14,760,,2018-02-03 11:25:00,2018,2,Saturday,11,Part Three,TURNER ST,42.35163950,-71.16203434,"(42.35163950, -71.16203434)"
I182008952,03831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,, ,,2018-02-01 22:00:00,2018,2,Thursday,22,Part Three,,42.36730022,-71.05806215,"(42.36730022, -71.05806215)"
I182008951,03301,Verbal Disputes,VERBAL DISPUTE,C6,206,,2018-02-03 11:00:00,2018,2,Saturday,11,Part Three,FARNSWORTH ST,42.35156644,-71.04835172,"(42.35156644, -71.04835172)"
I182008950,03501,Missing Person Reported,MISSING PERSON,B3,470,,2018-02-03 10:15:00,2018,2,Saturday,10,Part Three,COLORADO ST,42.27599890,-71.10101780,"(42.27599890, -71.10101780)"
I182008949,00619,Larceny,LARCENY ALL OTHERS,D14,938,,2018-01-28 09:00:00,2018,1,Sunday,9,Part One,FIDELIS WAY,42.34531664,-71.14298078,"(42.34531664, -71.14298078)"
I182008948,03410,Towed,TOWED MOTOR VEHICLE,D4,162,,2018-02-03 10:28:00,2018,2,Saturday,10,Part Three,HARRISON AVE,42.34394269,-71.06404858,"(42.34394269, -71.06404858)"
I182008947,03115,Investigate Person,INVESTIGATE PERSON,C6,915,,2018-02-03 10:33:00,2018,2,Saturday,10,Part Three,DORCHESTER ST,42.33222689,-71.05199201,"(42.33222689, -71.05199201)"
I182008944,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,E18,940,,2018-02-03 10:50:00,2018,2,Saturday,10,Part Three,GARFIELD AVE,42.24361883,-71.11989255,"(42.24361883, -71.11989255)"
I182008943,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,C11,450,,2018-02-03 10:17:00,2018,2,Saturday,10,Part Three,WASHINGTON ST,42.29131613,-71.07170293,"(42.29131613, -71.07170293)"
I182008939,03115,Investigate Person,INVESTIGATE PERSON,D4,594,,2018-02-03 10:24:00,2018,2,Saturday,10,Part Three,HUNTINGTON AVE,42.34201850,-71.08566213,"(42.34201850, -71.08566213)"
I182008938,03301,Verbal Disputes,VERBAL DISPUTE,B3,457,,2018-02-03 10:52:00,2018,2,Saturday,10,Part Three,BRADSHAW ST,42.29855717,-71.08348265,"(42.29855717, -71.08348265)"
I182008936,03106,Property Related Damage,PROPERTY - ACCIDENTAL DAMAGE,C6,199,,2018-02-03 10:46:00,2018,2,Saturday,10,Part Three,B ST,42.34026159,-71.05456412,"(42.34026159, -71.05456412)"
